tournament,date,home_team,away_team,elo_diff,reliable_zone,actual,p_home,p_draw,p_away,q_home,q_draw,q_away,took_trade,bet_side,bet_outcome,model_p,market_ask,net_edge,contracts,stake,fee,total_cost,bet_won,pnl,tag
2018,2018-06-21,Argentina,Croatia,142.0,True,away,0.413,0.2612,0.3258,0.4568,0.2907,0.2525,True,yes,away,0.3258,0.2525,0.06,48,12.27,0.64,12.76,True,35.24,favorite-fade
2018,2018-06-22,Brazil,Costa Rica,336.4,False,home,0.7773,0.15,0.0727,0.788,0.1479,0.0641,False,yes,away,0.0727,0.0641,0.0039,17,1.15,0.08,1.17,,,
2018,2018-06-22,Nigeria,Iceland,-88.2,True,home,0.3666,0.2659,0.3676,0.3485,0.3092,0.3423,False,no,draw,0.7341,0.6908,0.0281,25,17.52,0.38,17.65,,,
2018,2018-06-22,Serbia,Switzerland,-121.5,True,away,0.1185,0.1875,0.694,0.3409,0.3182,0.3409,True,yes,away,0.694,0.3409,0.3373,146,50.0,2.3,52.07,True,93.93,favorite-boost
2018,2018-06-23,Germany,Sweden,279.7,False,home,0.4751,0.249,0.2759,0.6407,0.222,0.1373,False,no,home,0.5249,0.3593,0.1494,89,32.31,1.44,33.41,,,
2018,2018-06-23,Belgium,Tunisia,219.7,False,home,0.6061,0.2271,0.1669,0.7147,0.1838,0.1016,False,no,home,0.3939,0.2853,0.0942,66,18.99,0.95,19.78,,,
2018,2018-06-23,South Korea,Mexico,-137.9,True,away,0.3739,0.2764,0.3497,0.1754,0.2572,0.5674,True,no,away,0.6503,0.4326,0.2004,110,47.96,1.9,49.49,False,-49.49,favorite-fade
2018,2018-06-24,Japan,Senegal,-72.6,True,draw,0.325,0.2822,0.3928,0.2824,0.3001,0.4175,False,yes,home,0.325,0.2824,0.0283,26,7.41,0.37,7.71,,,
2018,2018-06-24,Poland,Colombia,-112.6,True,away,0.1204,0.1937,0.6859,0.2909,0.2824,0.4267,True,yes,away,0.6859,0.4267,0.242,117,50.0,2.01,51.93,True,65.07,favorite-boost
2018,2018-06-24,England,Panama,215.9,False,home,0.7075,0.183,0.1095,0.7992,0.1475,0.0533,False,no,home,0.2925,0.2008,0.0804,71,14.35,0.8,15.06,,,
