series_ticker,event_ticker,market_ticker,title,yes_bid,yes_ask,mid,last_price,volume,open_interest,status
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SWA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.01,389.93,149.30,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-STR,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,992.97,727.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SOM,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,1496.60,739.60,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SIA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.03,464.00,125.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SHAW,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.06,353.00,333.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SHA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.16,0.085,0.03,656.80,452.80,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SEX,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.06,554.00,552.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SAM,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.04,0.035,0.02,2206.00,1119.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SAB,Who will perform at the 2026 FIFA World Cup final halftime show?,0.15,0.16,0.155,0.16,4316.57,1985.62,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-RUA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.05,0.035,0.05,1770.92,1096.96,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-ROS,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.04,0.03,0.05,1484.06,453.85,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-ROD,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,193.02,108.02,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-RIH,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.06,0.045,0.16,3247.73,1965.41,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-QUA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.06,42.00,25.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-POS,Who will perform at the 2026 FIFA World Cup final halftime show?,0.04,0.18,0.11,0.13,1140.06,795.55,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-POL,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.03,1005.23,701.23,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-PINK,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.04,0.035,0.03,283.51,205.09,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-PIN,Who will perform at the 2026 FIFA World Cup final halftime show?,0.05,0.06,0.055,0.04,1267.52,658.52,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-PHA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.04,0.05,0.045,0.05,288.30,172.81,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-PEA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.04,2091.46,1381.79,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-PAR,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,612.00,612.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-OZU,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.03,1139.83,817.83,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-OUT,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,231.00,157.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-OLI,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,740.61,323.61,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-OFF,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,291.00,279.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-OAS,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.16,0.09,0.04,1729.60,913.74,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-NIC,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.06,0.04,0.03,980.20,713.77,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-NF,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,728.00,529.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-NASX,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,659.58,550.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-MOR,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.02,1195.95,1013.95,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-MIL,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.03,1350.79,764.66,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-MGK,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.04,0.035,0.03,403.51,284.94,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-MET,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.01,501.99,463.86,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-MEG,Who will perform at the 2026 FIFA World Cup final halftime show?,0.07,0.15,0.11,0.04,491.53,364.53,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-MARO,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.03,790.33,437.33,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-MARI,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.01,251.00,147.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-MAR,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,1975.00,266.00,active
